image_path,true,pred,confidence,probs
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/glioma/c023f6239c08b4880a79050807be542cebc1c71e.jpg,glioma,pituitary,0.9378759264945984,"[0.02525491453707218, 0.022053539752960205, 0.9378759264945984, 0.014815525151789188]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/glioma/791556ea964373d5f209d5e7ff519908cd61569e.jpg,glioma,meningioma,0.9684178829193115,"[0.0109865702688694, 0.9684178829193115, 0.009500302374362946, 0.011095237918198109]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/glioma/2a90455584719b2873dba00fbd75b852b4d40ec0.jpg,glioma,pituitary,0.8040993213653564,"[0.11538560688495636, 0.049588315188884735, 0.8040993213653564, 0.030926695093512535]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/meningioma/a378fcb50d6527ab5f3e5e090823e68b32374aac.jpg,meningioma,pituitary,0.9643789529800415,"[0.011955874972045422, 0.012298974208533764, 0.9643789529800415, 0.011366093531250954]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/meningioma/0791125f1b8a4adf27d33cde6706ffca95497609.jpg,meningioma,notumor,0.8851507306098938,"[0.029115192592144012, 0.05514782667160034, 0.03058627061545849, 0.8851507306098938]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/pituitary/ff0626bae554d9ca8bcc816c7a19f34bb7ce9472.jpg,pituitary,glioma,0.9641112685203552,"[0.9641112685203552, 0.012028679251670837, 0.012251106090843678, 0.011608995497226715]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/pituitary/30e169f0e45c9d094374875600a3b52502486d53.jpg,pituitary,meningioma,0.9699942469596863,"[0.010149767622351646, 0.9699942469596863, 0.00946933962404728, 0.010386697947978973]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/pituitary/ad7590dfa37775dfba10630eeaeae2c11b5dceb9.jpg,pituitary,meningioma,0.9668681621551514,"[0.011441896669566631, 0.9668681621551514, 0.011627910658717155, 0.01006205752491951]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/20328c6f777d6726fc2afc37f174b7c0e34b51c6.jpg,notumor,meningioma,0.8731982111930847,"[0.05755654722452164, 0.8731982111930847, 0.018755726516246796, 0.050489503890275955]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/6df84a2dd9de024212bac43d4ff97cf9caf437a0.jpg,notumor,glioma,0.9662756323814392,"[0.9662756323814392, 0.011620142497122288, 0.010696297511458397, 0.011407915502786636]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/824cc30e6db10e0e4f34d012703b17e857e38c41.jpg,notumor,glioma,0.7277339100837708,"[0.7277339100837708, 0.05805730074644089, 0.03551246225833893, 0.17869625985622406]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/85643e07bcdec05fa0e9d6ed0b6ccf587b17035c.jpg,notumor,glioma,0.5052520036697388,"[0.5052520036697388, 0.06844381988048553, 0.0558282844722271, 0.3704758584499359]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/9237d59d33750d024d41430e05ce973fda0b7c45.jpg,notumor,glioma,0.9660571217536926,"[0.9660571217536926, 0.011599607765674591, 0.010513290762901306, 0.01182993408292532]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/d863917120403673a7e4fbfeb41e83c469ab7c21.jpg,notumor,glioma,0.887715220451355,"[0.887715220451355, 0.034996941685676575, 0.026574987918138504, 0.05071283131837845]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/notumor/e64efb9d355c7e3d4e22be82456b4c30127e18f8.jpg,notumor,meningioma,0.9658507704734802,"[0.011269577778875828, 0.9658507704734802, 0.010192591696977615, 0.012687128968536854]"
/kaggle/working/HybridResNet50V2-RViT/data/processed/tightcrop/test/meningioma/ef0d25189990e5972c59fe220f1c4cfbe84654b6.jpg,meningioma,notumor,0.9144267439842224,"[0.02391774393618107, 0.02123311534523964, 0.040422338992357254, 0.9144267439842224]"
